"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"36",36,"Pinellas","FL",280,851659,22.4,26,1620,4458,62344,78.1,18.5,6.2,6.2,21610,18404,3
"118",118,"Douglas","NE",331,416444,29,11.4,1603,2889,26006,84.5,24.9,8.1,2.9,19629,8174,2
"135",135,"Santa_Barbara","CA",2739,369608,32.8,12.3,875,1031,18313,80,26.6,7.4,6,21902,8095,4
"72",72,"Norfolk","MA",400,616087,28.8,14.1,2758,1903,14830,88,34.4,3.1,7.5,26909,16578,1
"280",280,"York","ME",991,164587,26.4,12.6,172,404,6027,79.5,19,4.7,6.9,17908,2947,1
"27",27,"Hennepin","MN",557,1032431,31.6,11.3,3706,5395,71753,88.2,31.6,6.4,4.3,23705,24474,2
"222",222,"Chatham","GA",440,216935,28.5,12.8,494,1112,18732,73.7,18.6,13.6,4.3,17776,3856,3
"270",270,"Placer","CA",1404,172796,23.5,12,329,322,8904,85.1,22.7,5.3,6.8,20168,3485,4
"125",125,"VA_Beach_City","VA",248,393069,35.3,5.9,679,530,23412,88,25.5,4.3,5.4,17697,6956,3
"1",1,"Los_Angeles","CA",4060,8863164,32.1,9.7,23677,27700,688936,70,22.3,11.6,8,20786,184230,4
"402",402,"Washington","RI",333,110006,31,12.3,162,241,3838,82.8,29.1,3.7,6.7,19449,2140,1
"380",380,"Pinal","AZ",5370,116379,24.4,13.7,61,309,6275,65.5,8.2,18.7,7.9,11396,1326,4
"369",369,"New_Hanover","NC",199,120284,29,12.5,297,554,11892,78.1,21.2,9.9,5.9,17119,2059,3
"338",338,"Weld","CO",3993,131821,29.6,10.2,172,281,7901,74.9,18.4,10.6,4.5,15874,2093,4
"416",416,"Midland","TX",900,106611,26.8,9,139,333,7546,76.8,26.4,11.5,5.4,19345,2062,3
"145",145,"Solano","CA",828,340421,29.7,8.2,481,503,21756,82.7,18.7,6,7,17268,5878,4
"412",412,"Yavapai","AZ",8124,107714,18.3,23.8,114,159,3952,78.9,17.7,9.8,5.4,13681,1474,4
"101",101,"Onondaga","NY",780,468973,29.4,13,1534,1668,23249,80.7,24.4,7.1,5.6,19401,9099,1
"415",415,"Yuma","AZ",5514,106895,27.4,13.8,118,197,5414,64.9,12.7,15.4,17.8,11490,1228,4
"302",302,"Bibb","GA",250,149967,27.5,12.9,438,1010,12701,68.2,17,15.9,4.1,17548,2632,3
"291",291,"Clay","MO",397,153411,28.3,10.4,108,693,11085,84.7,20,4.2,5.7,18395,2822,2
"96",96,"Union","NJ",103,493819,26.8,15,1362,2541,30299,75.2,25,5.3,6.9,26248,12962,1
"168",168,"Washtenaw","MI",710,282937,39.5,7.5,2188,1730,19367,87.2,41.9,6.4,6,22782,6446,2
"106",106,"Passaic","NJ",185,453060,28.9,12.9,831,1912,26434,68.8,18.7,7.6,8.1,21973,9955,1
"254",254,"Montgomery","TX",1044,182201,25.5,8.6,125,340,9469,75.5,19.4,9.4,5.5,17084,3113,3
"87",87,"Lake","IL",448,516418,28.9,8.4,1093,1499,22349,84.7,32,3.7,4.6,27378,14138,2
"148",148,"Hillsborough","NH",877,336073,30,10.3,587,1050,12843,82.2,26.4,4,7.5,22581,7589,1
"377",377,"Rutherford","TN",619,118570,33.1,8.4,133,215,6072,73.9,18.7,7.6,5.4,15501,1838,3
"128",128,"Hidalgo","TX",1569,383545,26.4,10.1,311,860,26712,46.6,11.5,36.3,17.6,8899,3413,3
"311",311,"Jackson","OR",2785,146389,22.1,16.2,263,522,7170,80.1,17.6,9.7,7.6,15582,2281,4
"375",375,"Stearns","MN",1345,118791,33.6,10.5,199,661,4101,78.3,17.5,7.3,5.4,14757,1753,2
"14",14,"San_Bernardino","CA",20062,1418380,30.1,8.8,2463,3349,83110,75.4,14.9,10.3,8,16399,23260,4
"418",418,"Olmsted","MN",653,106470,29.3,10,1814,1437,4310,88,29.5,4.5,3.3,20515,2184,2
"262",262,"Merced","CA",1929,178403,28.2,9.2,185,337,8587,63.1,12,15.4,14.6,13961,2491,4
"68",68,"Jefferson","AL",1113,651525,26.7,14,2532,4602,55604,73.8,19.9,12.7,5.3,18624,12134,3
"137",137,"Dane","WI",1202,367085,35.6,9.3,1603,1382,20344,88.9,34.2,4.8,3.1,20087,7374,2
"88",88,"Summit","OH",413,514990,26.8,13.8,1216,2226,26228,78.3,19.7,9.5,6,18583,9570,2
"95",95,"Orleans","LA",181,496938,28.3,13,2500,4018,54238,68.1,22.4,27.3,6.1,16578,8238,3
"109",109,"New_Castle","DE",426,441946,30.6,11.4,1038,1488,27717,80.6,25.2,5,6.2,22284,9848,1
"45",45,"Marion","IN",396,797159,30.6,11.7,2936,4654,61004,76.8,21.4,9.3,5,19148,15264,2
"184",184,"Utah","UT",1998,263590,33.9,7,291,544,10605,87.9,26.2,10.6,4.3,11467,3023,4
"397",397,"Kent","DE",591,110993,29.7,10.3,123,193,5846,73.1,15,8.7,7.6,14946,1659,1
"417",417,"Randolph","NC",788,106546,27.1,12.2,69,145,2940,62,9.1,6.5,4.8,14721,1568,3
"142",142,"Gwinnett","GA",433,352910,32.6,4.7,271,439,17119,86.7,29.6,2.9,4,19861,7009,3
"386",386,"Florence","SC",799,114344,26.2,11.2,211,731,8421,64.3,14.8,15.9,5.9,14961,1711,3
"134",134,"Westmoreland","PA",1023,370321,23.3,17.1,522,1306,7445,77.7,15.4,8.6,6.9,17069,6321,1
"206",206,"Marin","CA",520,230096,24.7,12.3,1001,488,9460,91.9,44,3,4,37541,8638,4
"228",228,"Saginaw","MI",809,211946,25.5,12,335,1193,16190,74.8,13,14.7,8.8,16904,3583,2
"224",224,"Lake","OH",228,215499,26.4,12,233,359,5481,81.1,17.5,3.6,5.7,19692,4244,2
"90",90,"Davidson","TN",502,510784,32.1,11.6,2293,3847,45237,75.9,24.4,10,4.6,19505,9963,3
"389",389,"Washington","AR",950,113409,32,11.2,208,651,6122,73.2,20,9.8,3.7,14736,1671,3
"371",371,"Delaware","IN",393,119659,32.9,12.7,217,494,1064,74.5,16.5,10.3,6.1,15697,1878,2
"337",337,"Webb","TX",3357,133239,28.5,7.9,107,382,12202,47.8,11.1,33.1,9.8,8973,1196,3
"93",93,"Camden","NJ",222,502824,27.5,12.2,1255,2041,34814,75.5,21,8,6.9,19930,10021,1
"155",155,"Tulare","CA",4824,311921,26.3,10.8,358,656,19489,60.2,11.8,18,17.1,14710,4588,4
"171",171,"Pasco","FL",745,281131,18.4,32.3,308,941,12509,66.9,9.1,7.9,8.3,13944,3920,3
"229",229,"Manatee","FL",741,211707,21,28.1,322,855,16916,75.6,15.5,6.8,5.8,17997,3810,3
"328",328,"Williamson","TX",1124,139551,29.1,7.6,88,185,5724,81.4,24.6,7.6,3.8,14934,2084,3
"8",8,"Wayne","MI",614,2111687,27.4,12.5,3823,9490,193978,70,13.7,16.9,10,17461,36872,2
"149",149,"Knox","TN",509,335749,30,12.7,984,2178,22422,74.6,23.9,10.2,4.6,17382,5836,3
"16",16,"Middlesex","MA",824,1398468,31.7,12.5,5158,4152,35825,84.3,35.4,4.2,7.3,25312,35398,1
"47",47,"Essex","NJ",126,778206,28.6,12.7,2811,4841,75595,70.1,24,11.3,7.9,24523,19084,1
"435",435,"Charles","MD",461,101154,29.9,6.5,67,104,5279,81,16.2,3.7,4.9,19317,1954,3
"428",428,"Sumner","TN",529,103281,25.5,10.2,96,259,3285,70.6,14.4,7,6.8,16514,1706,3
"138",138,"Spokane","WA",1764,361364,27,13.2,852,1346,20042,84.4,20.6,9.8,6.2,16365,5914,4
"426",426,"Sheboygan","WI",514,103877,25.4,14.6,114,421,4433,77.4,13.8,4.5,5.6,18061,1876,2
"129",129,"East_Baton_Rouge","LA",456,380105,31.5,9.2,841,1876,41592,80.5,27.5,15.1,5.4,17881,6797,3
"282",282,"Wyandotte","KS",151,161993,27.4,13,494,1019,18902,69.9,10.3,13.9,7.4,14134,2290,2
"191",191,"Washoe","NV",6343,254667,29.5,10.3,603,990,18831,82.5,20.7,6.3,5,21327,5431,4
"80",80,"Montgomery","OH",462,573809,28.1,12.6,1313,3068,36665,77.8,20,9.8,5.7,18410,10564,2
"57",57,"Baltimore","MD",599,692134,27.8,14,1269,641,46789,78.4,25,3.8,5.7,23470,16244,3
"427",427,"Fairfield","OH",506,103461,25.2,11.3,86,195,625,78.8,15.5,6.8,6.3,16342,1691,2
"436",436,"Hernando","FL",478,101115,16.4,30.7,98,290,4414,70.5,9.7,7.9,8.2,13919,1407,3
"352",352,"Bay","FL",764,126994,27.7,12,178,478,8634,74.7,15.7,11.2,8,14814,1881,3
"400",400,"Napa","CA",754,110765,24.5,16.5,345,1019,5056,80.7,22.3,4.6,5.9,22668,2511,4
"105",105,"Hampden","MA",619,456310,27.8,14.8,904,1665,24247,73.6,17.6,10.9,9.6,19073,8703,1
"258",258,"Durham","NC",291,181835,33.7,10.7,1944,1496,15477,78.9,33.4,8.7,3.6,19238,3498,3
"218",218,"Niagara","NY",523,220756,25.8,15.1,239,893,9437,75.8,13.6,8.6,8.3,16647,3675,1
"113",113,"Genesee","MI",640,430459,27.2,10.2,692,1830,33136,76.8,12.8,14,12.6,16829,7244,2
"140",140,"Monterey","CA",3322,355660,32.6,9.8,515,602,17870,72.9,21.5,8.5,10.9,19465,6923,4
"308",308,"Shasta","CA",3786,147036,22.8,14.1,267,468,7336,78.4,13.7,11,10.3,16277,2393,4
"205",205,"Dauphin","PA",525,237813,26.8,14.3,824,1425,11563,77.6,18.6,7.2,5.5,18348,4363,1
"421",421,"Androscoggin","ME",470,105259,27.9,13.4,198,527,4020,71.8,12.6,8.7,9.7,16154,1700,1
"279",279,"Lafayette","LA",270,164762,31.1,8.3,361,1018,10599,73.3,22.5,16.2,5,16868,2779,3
"83",83,"Delaware","PA",184,547651,27.6,15.5,1374,1588,18924,81.4,24.8,5,5.3,23658,12956,1
"152",152,"Mercer","NJ",226,325824,29.2,13,994,1724,20153,77.1,29.5,5.3,5.5,26026,8480,1
"69",69,"San_Mateo","CA",449,649623,28.4,12.3,1814,1642,30473,84.1,31.3,4.3,4.2,28819,18721,4
"202",202,"Jefferson","TX",904,239397,25.8,14,449,1724,21677,74.4,15.5,15.5,6.7,17418,4170,3
"89",89,"Mecklenburg","NC",527,511433,32,9.4,1114,2021,57999,81.6,28.3,7.2,4.8,20942,10710,3
"100",100,"Lake","IN",497,475594,25.5,12.3,707,2413,29926,73.5,12.8,11.7,7.1,16327,7765,2
"274",274,"Calcasieu","LA",1071,168134,26.6,10.9,248,845,6399,70.3,14.7,15.5,7.8,14968,2517,3
"153",153,"Greenville","SC",792,320167,28.2,11.9,650,1358,20504,71.6,21,7.8,4.9,17874,5723,3
"344",344,"Tippecanoe","IN",500,130598,42.3,9.5,232,635,6141,85.2,30.7,6.8,3.2,15847,2070,2
"154",154,"Kane","IL",521,317471,27.8,9.3,473,1263,16721,77.7,21.4,5,7.5,21684,6884,2
"150",150,"Lee","FL",804,335113,21.5,24.7,509,1202,18442,76.9,16.4,6.1,6.4,18877,6326,3
"28",28,"St._Louis","MO",508,993529,26.1,13.1,1194,1056,42595,82.3,29.2,4,5.1,24219,24062,2
"307",307,"Clark","OH",400,147548,25.3,13.8,173,463,10131,73.4,12.2,10.4,6.5,16676,2461,2
"323",323,"Kenton","KY",163,142031,28.3,11.5,263,733,6925,74.4,17,8.2,5.4,16935,2405,3
"189",189,"Dutchess","NY",802,259462,29,11.4,535,741,9087,79.8,24.8,3.6,5.1,22173,5753,1
"7",7,"Maricopa","AZ",9204,2122101,29.2,12.5,4320,6104,177593,81.5,22.1,8.8,4.9,18042,38287,4
"102",102,"Denver","CO",153,467610,30.3,13.8,2867,3652,37466,79.2,29,13.1,5.4,22156,10360,4
"197",197,"Northampton","PA",374,247105,26.9,15,459,933,6452,73.1,16.7,4.9,6.8,18336,4531,1
"186",186,"Escambia","FL",664,262798,29.2,11.9,522,1584,14380,76.2,18.2,13.3,5.8,15392,4045,3
"278",278,"Vanderburgh","IN",235,165058,27,15.7,411,1376,8405,75.2,16,9.1,5.7,18093,2986,2
"353",353,"Davidson","NC",552,126677,26.9,12,78,221,5662,64.2,10,7.3,5.9,15079,1910,3
"12",12,"King","WA",2126,1507319,30.1,11.1,5280,4009,124959,88.2,32.8,5,4.6,23779,35843,4
"368",368,"Hawaii","HI",4028,120317,22.5,12.6,182,391,7226,77.7,18.5,10.9,4,16728,2013,4
"9",9,"Dade","FL",1945,1937094,27.1,13.9,6274,8840,244725,65,18.8,14.2,8.7,17823,34525,3
"384",384,"Marathon","WI",1545,115400,25.9,12.7,172,254,3655,75.9,13.5,5.5,5.9,16305,1882,2
"208",208,"Santa_Cruz","CA",446,229734,29.9,11.3,429,390,13707,81.9,29.7,6.2,8,22025,5060,4
"313",313,"St._Clair","MI",725,145607,25.9,12.3,143,431,6568,74.8,10.7,9.2,11.8,17480,2545,2
"312",312,"Washington","MN",392,145896,26.5,6.6,113,92,5365,90,26.2,3.6,4.6,20682,3017,2
"17",17,"Allegheny","PA",730,1336449,26.2,17.4,5281,8436,50186,79,22.6,8.7,5.3,20681,27639,1
"209",209,"Marion","OR",1185,228483,25.7,14.3,376,498,14825,78.7,17.5,9.4,5.7,16022,3661,4
"71",71,"Jackson","MO",605,633232,28.1,13.1,1695,3762,61760,79.5,20,9.8,6.5,18611,11785,2
"335",335,"Hampton_City","VA",52,133793,33,9.6,163,251,8376,79.7,19.1,8.8,6.8,14743,1973,3
"180",180,"Rockland","NY",174,265475,25.5,10.1,931,745,7194,83.3,33,4.1,5.3,26757,7103,1
"287",287,"Muskegon","MI",509,158983,25.8,13,182,660,12181,74.2,11.1,12.4,12,14767,2348,2
"146",146,"York","PA",905,339574,26.6,13.1,460,951,11292,72.8,13.9,4.3,6.2,19502,6622,1
"269",269,"Champaign","IL",997,173025,41.6,8.8,382,805,11508,87.5,34.1,8,4.5,16957,2934,2
"401",401,"Rowan","NC",511,110605,26,15.2,114,244,5233,66,11.7,6.8,5.4,15691,1736,3
"399",399,"Jefferson","NY",1272,110943,32.7,10.9,124,336,3064,76.4,13.6,9.5,11,15205,1687,1
"376",376,"Lycoming","PA",1235,118710,25.4,15.1,232,668,3826,74.5,12.3,8.4,8,15778,1873,1
"361",361,"Wichita","TX",628,122378,29.5,12.8,243,457,10727,75.1,16.5,12.5,6.8,17119,2095,3
"46",46,"DuPage","IL",334,781666,29,8.7,2157,1842,29708,88.6,36,1.7,4.8,26772,20927,2
"18",18,"Suffolk","NY",911,1321864,27.9,10.8,3021,3904,66723,82.2,23,3.3,7,24262,32071,1
"433",433,"Kings","CA",1390,101469,33.7,7.7,82,180,4449,65.6,9,15,12.8,13907,1411,4
"247",247,"Ottawa","MI",566,187768,28.9,9.8,163,313,6140,79.8,18.7,3.8,6.5,18360,3447,2
"364",364,"Oswego","NY",953,121771,29.8,10.7,79,269,3582,74.7,12.9,8.1,10,14834,1806,1
"139",139,"Will","IL",837,357313,27.4,8.6,298,746,16432,80.4,18,4.5,7.4,18787,6713,2
"340",340,"Rapides","LA",1323,131556,26.8,12,246,768,6101,69,14.6,18.6,7.1,14615,1923,3
"260",260,"Saratoga","NY",812,181276,28.4,10.3,215,221,5281,83,25.2,4.4,5.9,18857,3418,1
"3",3,"Harris","TX",1729,2818199,31.3,7.1,7553,12449,253526,74.9,25.4,12.5,5.7,19517,55003,3
"156",156,"Washington","OR",724,311554,27.6,10.1,353,294,12630,88.2,29.8,4.8,4.4,19932,6210,4
"29",29,"Erie","NY",1045,968532,27.3,15.2,2748,4632,55306,76.4,20,9.4,6.8,18305,17729,1
"266",266,"Buncombe","NC",656,174821,24.8,16.1,469,725,9512,74.5,19.1,8.2,4.9,16934,2960,3
"85",85,"Kern","CA",8142,543477,28.3,9.7,682,1194,36318,67.6,13.3,13.7,11.8,15881,8631,4
"198",198,"St._Joseph","IN",457,247052,28.2,14.1,417,927,10637,76.1,19.2,7.1,5.7,17211,4252,2
"296",296,"Chesapeake_City","VA",341,151976,28.6,8.4,212,210,8427,77.1,16.9,7,6.1,16924,2572,3
"322",322,"Ouachita","LA",611,142191,28.3,11.2,268,1043,10605,71.6,18.9,19.6,6.4,13869,1972,3
"97",97,"Ramsey","MN",156,485765,31,12.2,1512,1140,30574,85,28.8,8.1,4.3,20303,9862,2
"434",434,"Wayne","OH",555,101461,26.3,11.6,84,155,2377,73.6,13.9,8.4,5.9,16464,1670,2
"214",214,"Boulder","CO",743,225339,34.2,7.6,452,387,14124,91.3,42.1,5.6,3.5,21421,4827,4
"419",419,"Vigo","IN",403,106107,30.2,15.1,179,576,3435,76,18.1,10.7,5,15036,1595,2
"341",341,"York","SC",683,131497,28.7,10.6,121,276,9525,67.5,16.9,7.6,5.5,16713,2198,3
"108",108,"Cobb","GA",340,447745,31.7,6.3,622,983,27582,85.8,33,3.8,4.1,21933,9820,3
"237",237,"Marion","FL",1579,194833,21.6,22.1,235,451,14860,69.6,11.5,10.8,8.6,13802,2689,3
"169",169,"Lane","OR",4554,282912,27.4,13.1,497,654,16091,83,22.2,9.4,6.5,15701,4442,4
"298",298,"Tuscaloosa","AL",1325,150522,33.3,11.4,299,731,12377,69.6,20,13.5,5.4,15113,2275,3
"70",70,"Fulton","GA",529,648951,31.6,10,3368,5757,93025,77.8,31.6,15.4,5.3,22819,14808,3
"2",2,"Cook","IL",946,5105067,29.2,12.4,15153,21550,436936,73.4,22.8,11.1,7.2,21729,110928,2
"342",342,"Sussex","NJ",521,130943,26.3,8.9,133,261,3174,85.1,24.9,2.5,6.8,24405,3196,1
"257",257,"Clayton","GA",143,182052,32.4,5.8,191,346,15419,77.2,14.7,7.3,5.8,16171,2944,3
"54",54,"Macomb","MI",480,717400,28.2,12.3,705,1202,41048,76.9,13.5,4,9.4,20924,15011,2
"331",331,"Cumberland","NJ",489,138053,26.7,13.5,181,534,9071,63.4,10.8,10.2,10.7,16819,2322,1
"55",55,"Monroe","NY",659,713968,29,12.5,2438,3077,43780,80.1,26.3,7.7,4.4,21641,15451,1
"82",82,"Hudson","NJ",47,553099,31.5,12.7,1036,2443,40581,64.1,19.7,12.4,9,18463,10212,1
"39",39,"Fairfield","CT",626,827645,26.7,13.3,2417,2494,44374,81,34.2,4.5,5.9,32342,26768,1
"406",406,"Hamilton","IN",398,108936,25.1,8.2,257,122,1699,88.7,36.2,2.6,2.8,25681,2798,2
"414",414,"La_Salle","IL",1135,106913,23.8,17.2,104,504,2982,73.1,10.5,8.7,9.6,16119,1723,2
"84",84,"De_Kalb","GA",268,545837,32.6,8.5,1036,922,56950,83.9,32.7,7.2,4.4,21005,11465,3
"124",124,"Burlington","NJ",805,395066,28.8,10.7,719,1150,13034,81.9,23.6,3.1,5.6,23008,9090,1
"115",115,"Wake","NC",834,423380,34.5,7.8,761,1199,26006,85.4,35.3,5.5,3.5,20658,8746,3
"388",388,"Yellowstone","MT",2635,113419,25.6,12.4,262,554,3879,83.7,21.5,9,5.3,17272,1959,4
"265",265,"Racine","WI",333,175034,26,12,234,532,11110,76.4,16.5,7.9,6.5,18426,3225,2
"15",15,"Cuyahoga","OH",458,1412140,26.3,15.6,5620,8132,73150,74,20.1,11,5.5,21086,29776,2
"238",238,"Brown","WI",529,194594,29.6,10.8,289,632,8101,82.6,17.7,6.7,4.6,18490,3598,2
"303",303,"Onslow","NC",767,149838,49.7,4.4,104,133,7505,83,13.4,9.8,5.6,10190,1527,3
"107",107,"Jefferson","LA",306,448306,28.1,10.2,1237,1648,41625,76,18.8,11.4,5.6,17101,7666,3
"420",420,"Clay","FL",601,105986,26.3,8.5,164,277,4560,81.2,17.9,5.4,5.9,16029,1699,3
"391",391,"Benton","WA",1703,112560,25.1,10.1,142,278,6249,83.9,23.3,8.9,6.8,17332,1951,4
"317",317,"Horry","SC",1134,144053,28.2,12.7,175,505,12459,74.3,16,11.6,7.7,14693,2117,3
"358",358,"Tazewell","IL",649,123692,23.9,13.2,98,297,3140,78.6,13.6,7.1,7.4,18008,2227,2
"330",330,"Berkshire","MA",931,139352,26,16.9,375,598,3862,77.9,20.9,6.3,10.1,20068,2797,1
"306",306,"Rock_Island","IL",427,148723,24.9,15,209,769,7154,77.4,15,10.2,7.5,17818,2650,2
"210",210,"Trumbull","OH",616,227813,23.9,14.4,225,925,7315,75.2,11.4,9.4,7.9,16144,3678,2
"332",332,"Greene","OH",415,136731,28.5,9.8,134,210,5221,82.4,26,7.1,5.2,18161,2483,2
"304",304,"Jackson","MI",707,149756,27.1,12.3,127,573,8630,77.7,12.9,9.4,9.9,15750,2359,2
"350",350,"Kenosha","WI",273,128181,27.5,12.6,140,334,6616,75.1,12.7,7.6,6.4,17338,2222,2
"286",286,"Shawnee","KS",550,160976,26.2,13.1,451,661,13845,84.4,22.3,7.4,4.7,19558,3148,2
"395",395,"Comanche","OK",1069,111486,34.5,8.7,127,347,5979,81.1,18.4,13.3,6.6,13228,1475,3
"188",188,"Cameron","TX",906,260120,25.9,10.6,270,825,18842,50,12,33.7,12.5,9728,2530,3
"116",116,"Lancaster","PA",949,422822,27.2,13.1,574,1241,13086,70.5,16.7,5.3,5.3,18878,7982,1
"41",41,"Bergen","NJ",234,825380,25.4,15.3,3226,2279,28521,81.6,31.7,2.7,5.2,32230,26602,1
"119",119,"Polk","FL",1875,405382,23.9,18.6,559,1288,37290,68,12.9,9.4,10.1,14835,6014,3
"51",51,"Prince_George's","MD",486,729268,33.7,6.9,1253,1322,54469,83.2,25.5,3.7,5,19568,14270,3
"123",123,"St._Louis_City","MO",62,396685,28.7,16.6,4189,7814,64103,62.8,15.3,20.6,9,18113,7185,2
"178",178,"Lorain","OH",493,271126,26.4,11.6,291,941,9864,75.3,12.3,9.1,9.5,16006,4340,2
"195",195,"Madison","IL",725,249238,26.2,13.9,275,1120,10666,75.8,14.4,8.5,7.9,17980,4481,2
"37",37,"Honolulu","HI",600,836231,30.6,11,2025,2174,51032,81.2,24.6,5.4,2.3,21307,17818,4
"86",86,"Bucks","PA",608,541174,26.6,10.9,879,1435,16894,82.9,24.8,2.9,6.7,22548,12202,1
"10",10,"Dallas","TX",880,1852810,32.6,8.2,4718,6934,214258,77.1,26.3,10.4,6.1,21001,38911,3
"253",253,"Peoria","IL",620,182827,26,14.2,581,1219,12483,77.9,19.5,11.3,7.2,18342,3353,2
"21",21,"Broward","FL",1209,1255488,25.3,20.7,2456,5543,107386,76.8,18.8,7.1,7.4,22355,28066,3
"177",177,"Denton","TX",889,273525,36.9,5,216,458,20372,86.8,32.3,4.5,5.6,17801,4869,3
"65",65,"Pima","AZ",9187,666880,28.9,13.7,1841,2016,57051,80.5,23.3,12,3.9,15191,10131,4
"11",11,"Philadelphia","PA",135,1585577,29.1,15.2,6641,10494,109148,64.3,15.2,16.1,8,16721,26512,1
"114",114,"Anne_Arundel","MD",416,427239,29.6,8.8,616,617,21826,81.1,24.6,3,5,22797,9740,3
"120",120,"Sedgwick","KS",1000,403662,28.5,11.4,930,1840,34071,82.4,22.2,8.3,4.5,19276,7781,2
"261",261,"Muscogee","GA",216,179278,30.6,10.8,360,1168,11454,71.5,16.6,14.9,4.6,15505,2780,3
